Lady Finger,2,20,35,6,7,800,1200,VL,L,M,15,11,25,55,Pre-soaking Irrigation also done before sowing is beneficial 
Lentil,3,15,25,6,8,500,750,L,M,M,10,45,25,110,*
Linseed,5,10,27,5,7,450,750,L,L,M,15,*,20,135,The oilseed crop needs about 25 to 30 oC during germination and vegetative phase and 15 to 20 oC during seed formation.
Maize,6,21,35,5.5,7.5,500,1000,VL,VL,VL,17,42,*,110,*
Mesta,4,20,35,4.5,7.8,600,900,M,VL,M,*,*,*,*,No info. found .. Look at the mannual for more 
Moong(Green Gram),2,20,40,6.2,7.2,600,900,VL,L,VL,*,*,*,70,The cost of production is lower as it be sown without soil tillage immediately after harvesting winter wheat crop.
Moth,3,24,34,4,9,450,750,M,M,L,*,*,*,*,No information to show.
Onion,4,18,30,6,7.5,500,800,H,L,VL,5,40,*,150,When planting onion sets. Don't bury them more than 1 inch under the soil. For sets or transplants space plants 4 to 5 inches apart in rows 12 to 18 inches apart
Orange,4,15,30,6,8,400,700,VL,L,M,*,*,*,*,Orange seeds are quite easy to germinate but a tree grown from an orange seed can take anywhere from seven to 15 years to bear fruit.
Papaya,12,20,30,6,7,1500,2500,VL,H,VL,10,200,*,320,*
Peas & beans (Pulses),3,15,30,6,7.5,300,600,M,M,VL,12,55,*,*,Pulse crops are one of the most sustainable crops a farmer can grow.
Potato,3,14,25,5.2,6.4,300,600,VL,VL,VL,7,35,*,110,The potato tubers grow underground and generally located in the top 25 cm (10 in) of the soil. 
Raddish,2,10,30,6,7.5,500,1000,VL,VL,VL,5,14,*,65,Radish seeds are ready to harvest when you can hear the seeds rattle around in the pod when you shake it.
Ragi,4,20,30,5,7,700,1200,VL,M,VL,15,25,37,156,*
Rice,5,16,30,5,9,1000,2000,M,M,VL,30,40,45,140,*
Safflower,4,15,35,5,8,600,1000,M,M,L,14,64,*,*,People can use it topically to treat dry skin and it is safe to use when cooking at high temperatures.
Sannhamp,5,20,35,5.5,7,400,1000,VL,M,M,0,*,*,220,Harvesting should be done at the flowering stage (60-90 days after sowing) since the fibre is thinner at this stage. Harvesting can be done by hand or with a mechanical harvester.
Sesamum,4,20,35,5.5,8,500,800,VL,L,M,15,80,*,136,Sowing is done during last week of June to first week of July when atmospheric temperature is about 25-27 C
Soyabean,4,22,35,6,7,450,700,M,M,M,14,*,*,65, Soybeans are rarely attacked by disease. Rotate beans so that they do not grow in the same location more than every three years.
Sugarcane,12,25,38,5,8.5,900,1800,VL,H,L,30,130,160,515,Depending upon the variety and sowing time it takes about 12 to 18 months to mature
Sunflower,4,20,37,6,7.5,400,700,L,L,L,10,26,100,120,Cover and keep watered until seeds sprout in 7 to 10 days. 
Sweet potato,5,15,30,5.5,6.5,750,1500,L,M,L,20,110,120,190,*
Tapioca,5,22,35,5,7,700,1500,L,M,L,20,110,120,300,*
Tomato,4,13,32,5.5,7.5,400,600,M,M,VL,15,38,66,95,'irrigation should be given 7-8 days interval during kharif' 'during rabi 10-12 days' and '5-6 days during summer'
Turmeric,8,15,35,4.5,7.5,1500,2000,M,VL,VL,35,155,175,210,Weeding has to be done thrice at 60  90 and 120 days after plantingdepending upon weed intensity.
Urad,3,25,35,5.5,7.5,600,1000,L,L,L,16,40,57,120,The crop should get irrigation at an interval of 10-15 days. 
Varagu,4,20,35,5.5,6.5,1500,1800,VL,M,M,19,65,70,75,*
Wheat,3,20,33,5,6.8,600,900,VL,L,VL,40,160,180,210,*
